Abbar, 0.25, 2, 0
Achird, 0.27, 2, 1
Adarfios, 0.18, 2, 2
Adhara, 0.35, 2, 3
Adras, 0.27, 2, 4
Agleos, 0.34, 0, 5
Akemiron, 0.36, 1, 6
Akeon, 0.24, 2, 7
Alchiba, 0.23, 2, 8
Alphard, 0.21, 0, 9
Alvas, 0.32, 1, 10
Alyond, 0.26, 0, 11
Ambrosia, 0.24, 1, 12
Ambrus, 0.21, 1, 13
Andromeda, 0.23, 0, 14
Andromidae, 0.16, 2, 15
Aquarii, 0.11, 1, 16
Astrax, 0.26, 1, 17
Astrix, 0.15, 1, 18
Atlas, 0.3, 1, 19
Atomilion, 0.24, 2, 20
Aton, 0.2, 1, 21
Atten, 0.33, 1, 22
Atticus, 0.23, 0, 23
Aurigae, 0.11, 2, 24
Aurius, 0.21, 1, 25
Avalon, 0.2, 1, 26
Avalor, 0.14, 0, 27
Aximia, 0.34, 1, 28
Azha, 0.27, 1, 29
Aziri, 0.16, 1, 30
Bell, 0.25, 1, 31
Berkas, 0.16, 0, 32
Betelgeuse, 0.23, 2, 33
Biris, 0.08, 1, 34
Birium, 0.09, 1, 35
Bozen, 0.4, 2, 36
Cadaris, 0.24, 0, 37
Cadmus, 0.23, 1, 38
Calliope, 0.15, 2, 39
Calnat, 0.23, 2, 40
Camar, 0.39, 0, 41
Camus, 0.13, 1, 42
Canaban, 0.15, 2, 43
Canis, 0.18, 0, 44
Caridmus, 0.27, 0, 45
Carmonis, 0.18, 0, 46
Cazeaje, 0.22, 1, 47
Celestia, 0.11, 0, 48
Chimera, 0.26, 0, 49
Copium, 0.24, 0, 50
Cora, 0.36, 0, 51
Daron, 0.27, 2, 52
Decane, 0.32, 1, 53
Demi, 0.27, 0, 54
Dollus, 0.19, 1, 55
Doran, 0.32, 2, 56
Dox, 0.21, 2, 57
Draco, 0.3, 2, 58
Draconis, 0.15, 1, 59
Drafares, 0.19, 2, 60
Drohar, 0.14, 2, 61
